gesture,rep,t_ms,gx,gy,gz
left,6,681,175.375,8.500,-183.375
left,6,691,154.437,-9.375,-152.750
left,6,701,129.500,-9.625,-132.750
left,6,711,101.875,-3.688,-114.000
left,6,721,66.313,3.125,-85.125
left,6,731,38.063,3.688,-56.188
left,6,741,6.937,-1.562,-18.750
left,6,751,-12.375,-7.312,7.062
left,6,761,-26.812,-12.063,26.125
left,6,771,-36.500,-16.250,35.875
left,6,781,-35.375,-21.062,33.750
left,6,791,-26.937,-30.062,31.562
left,6,801,-10.688,-45.500,40.125
left,6,811,3.188,-56.188,54.375
left,6,821,16.250,-62.625,69.000
left,6,831,29.500,-65.563,84.188
left,6,841,36.875,-66.125,95.125
left,6,851,41.938,-67.125,109.563
left,6,861,45.688,-70.000,121.500
left,6,871,45.625,-73.188,132.562
left,6,881,41.125,-75.125,144.250
left,6,891,39.750,-73.063,152.812
left,6,901,46.813,-68.813,162.250
left,6,911,65.875,-65.250,172.750
left,6,921,83.313,-65.875,177.375
left,6,931,99.875,-68.875,180.687
left,6,941,115.938,-75.250,189.437
left,6,951,120.313,-82.938,202.062
left,6,961,114.938,-92.000,216.312
left,6,971,101.000,-105.125,230.250
left,6,981,89.188,-116.438,237.500
left,6,991,76.125,-126.188,243.312
left,7,1,5.125,-0.750,-6.687
left,7,11,7.062,1.125,-5.562
left,7,21,8.750,2.188,-3.938
left,7,31,9.625,2.688,-2.563
left,7,41,10.625,3.125,-1.125
left,7,51,11.188,2.938,-0.312
left,7,61,11.625,2.250,0.187
left,7,71,12.625,0.250,0.875
left,7,81,13.625,-2.625,1.750
left,7,91,14.250,-6.187,2.625
left,7,101,14.375,-10.938,2.375
left,7,111,14.625,-14.688,0.312
left,7,121,14.500,-18.375,-2.750
left,7,131,12.188,-22.125,-6.375
left,7,141,8.875,-23.000,-10.188
left,7,151,5.687,-20.812,-19.687
left,7,161,3.813,-15.125,-31.812
left,7,171,3.438,-9.813,-44.875
left,7,181,2.563,-2.375,-57.250
left,7,191,1.250,5.062,-63.938
left,7,201,0.437,14.125,-70.750
left,7,211,0.937,26.875,-82.875
left,7,221,1.000,36.563,-94.625
left,7,231,-1.750,44.688,-105.438
left,7,241,-11.188,54.250,-116.125
left,7,251,-20.625,64.813,-125.813
left,7,261,-24.375,78.875,-140.750
left,7,271,-16.562,96.438,-165.187
left,7,281,-6.000,106.063,-182.562
left,7,291,2.188,112.188,-197.437
left,7,301,4.437,117.000,-208.375
left,7,311,5.812,124.500,-222.500
left,7,321,6.250,135.187,-244.187
left,7,331,4.437,141.750,-262.250
left,7,341,1.000,146.125,-279.687
left,7,351,-4.562,150.562,-299.375
left,7,361,-9.438,155.250,-311.937
left,7,371,-13.188,160.000,-321.187
left,7,381,-15.188,161.687,-328.687
left,7,391,-14.500,162.125,-332.375
left,7,401,-10.813,165.250,-333.875
left,7,411,-3.563,165.562,-331.062
left,7,421,1.562,158.625,-324.812
left,7,431,7.125,149.375,-318.312
left,7,441,13.250,146.000,-318.312
left,7,451,21.937,140.437,-321.250
left,7,461,31.875,115.250,-321.875
left,7,471,31.500,77.813,-315.375
left,7,481,16.312,35.375,-301.187
left,7,491,-17.750,-2.313,-279.937
left,7,501,-41.313,-12.375,-266.750
left,7,511,-55.500,-12.125,-259.437
left,7,521,-65.938,-9.313,-250.500
left,7,531,-74.563,10.125,-224.312
left,7,541,-94.500,41.813,-188.625
left,7,551,-117.063,47.500,-185.437
left,7,561,-134.625,37.375,-199.250
