gesture,rep,t_ms,gx,gy,gz
right,6,491,-28.062,-175.187,233.312
right,6,501,-11.250,-173.312,221.625
right,6,511,16.000,-170.187,207.500
right,6,521,38.688,-169.062,192.000
right,6,531,53.250,-172.000,169.187
right,6,541,45.250,-182.375,133.625
right,6,551,21.687,-191.562,107.875
right,6,561,-1.250,-192.812,85.750
right,6,571,-1.875,-179.437,74.875
right,6,581,6.437,-156.437,67.750
right,6,591,11.250,-128.875,60.750
right,6,601,6.250,-114.500,53.750
right,6,611,-1.375,-104.000,43.375
right,6,621,-7.687,-89.875,26.375
right,6,631,-10.000,-76.938,13.875
right,6,641,-11.188,-63.000,6.625
right,6,651,-12.000,-43.438,5.250
right,6,661,-13.750,-27.437,7.500
right,6,671,-17.625,-10.500,9.250
right,6,681,-22.937,0.187,7.437
right,6,691,-24.437,10.938,2.750
right,6,701,-23.000,27.875,-4.500
right,6,711,-22.437,43.313,-9.750
right,6,721,-22.687,58.938,-14.875
right,6,731,-21.562,76.188,-22.625
right,6,741,-18.875,86.438,-30.187
right,6,751,-15.875,93.563,-38.625
right,6,761,-12.938,99.938,-49.000
right,6,771,-10.563,104.813,-58.750
right,6,781,-7.312,109.563,-72.750
right,6,791,-4.312,110.875,-96.125
right,6,801,-4.187,106.375,-116.188
right,6,811,-4.937,96.750,-137.937
right,6,821,-3.875,90.500,-150.250
right,6,831,0.437,89.375,-157.250
right,6,841,10.688,94.188,-161.625
right,6,851,21.062,98.313,-166.812
right,6,861,30.062,97.813,-176.312
right,6,871,34.063,88.563,-192.250
right,6,881,30.062,78.188,-203.875
right,6,891,22.000,72.125,-211.312
right,6,901,10.375,76.688,-213.437
right,6,911,1.625,88.688,-208.812
right,6,921,-7.062,106.813,-195.812
right,6,931,-12.813,120.063,-182.437
right,6,941,-16.562,130.937,-169.375
right,6,951,-15.688,139.812,-156.687
right,6,961,-11.250,142.625,-150.375
right,6,971,-6.125,142.937,-145.250
right,6,981,-2.375,140.000,-137.125
right,6,991,-2.625,133.812,-130.437
right,7,0,-12.875,5.062,5.312
right,7,10,-10.125,9.125,6.375
right,7,21,-5.250,14.938,4.187
right,7,31,-0.625,18.750,0.625
right,7,41,3.313,19.625,-4.500
right,7,51,3.688,17.937,-9.000
right,7,61,2.750,16.500,-13.625
right,7,71,1.812,17.875,-18.875
right,7,81,1.750,21.375,-21.625
right,7,91,2.063,26.500,-23.875
right,7,101,2.563,36.063,-28.312
right,7,111,0.625,45.938,-33.063
right,7,121,-5.875,56.063,-37.500
right,7,131,-11.313,59.000,-39.938
right,7,141,-14.500,56.375,-44.000
right,7,151,-14.750,47.188,-53.688
right,7,161,-14.125,36.875,-63.625
right,7,171,-15.125,25.125,-71.125
right,7,181,-17.375,11.188,-73.000
right,7,191,-19.062,3.000,-70.313
right,7,201,-21.312,-1.500,-64.938
right,7,211,-21.625,-1.812,-49.563
right,7,221,-16.375,1.750,-29.250
right,7,231,-7.000,8.375,2.750
right,7,241,5.750,12.375,31.312
right,7,251,14.875,12.375,62.313
right,7,261,28.937,4.062,108.000
right,7,271,42.438,-8.250,148.500
right,7,281,52.500,-21.625,185.125
right,7,291,47.625,-34.125,219.437
right,7,301,26.000,-41.938,240.437
right,7,311,-4.062,-52.375,259.625
right,7,321,-36.625,-67.750,282.312
right,7,331,-48.313,-78.313,296.750
right,7,341,-45.125,-84.750,302.812
right,7,351,-31.937,-84.750,300.250
right,7,361,-31.687,-86.625,298.750
right,7,371,-39.438,-104.188,300.562
right,7,381,-36.125,-124.938,299.062
right,7,391,-25.000,-140.812,291.312
right,7,401,-21.875,-152.125,277.750
right,7,411,-27.062,-156.687,271.750
right,7,421,-22.562,-155.250,272.000
right,7,431,3.563,-148.937,272.562
right,7,441,23.625,-146.625,266.437
right,7,451,21.687,-149.000,253.750
right,7,461,-6.375,-151.562,234.125
right,7,471,-23.625,-149.500,218.875
right,7,481,-26.812,-148.375,200.062
right,7,491,-17.375,-147.250,181.312
right,7,501,-7.312,-141.437,157.500
right,7,511,-1.875,-131.125,124.938
right,7,521,-5.687,-126.188,101.750
right,7,531,-14.250,-124.750,82.938
right,7,541,-24.000,-121.313,66.438
right,7,551,-24.812,-115.438,57.688
right,7,561,-14.625,-109.813,46.688
right,7,571,10.875,-104.250,19.937
right,7,581,26.250,-102.313,-8.875
right,7,591,23.000,-104.813,-34.000
right,7,601,-4.062,-106.375,-48.250
right,7,611,-26.250,-91.313,-42.688
right,7,621,-34.688,-45.063,-22.625
right,7,631,-28.750,2.125,-6.375
right,7,641,-19.375,46.938,3.000
right,7,651,-6.750,92.750,0.937
right,7,661,3.875,116.875,-9.250
right,7,671,12.500,127.500,-23.125
right,7,681,14.938,126.313,-42.438
right,7,691,10.313,121.875,-57.500
right,7,701,6.125,120.063,-72.688
right,7,711,8.875,120.250,-93.813
right,7,721,14.625,118.125,-110.125
right,7,731,20.875,114.375,-127.000
right,7,741,23.500,114.125,-139.375
right,7,751,20.250,114.625,-151.062
right,7,761,4.625,111.188,-163.312
right,7,771,-11.313,106.438,-170.812
right,7,781,-20.687,106.188,-175.625
right,7,791,-13.688,121.250,-176.812
right,7,801,4.437,143.812,-174.000
right,7,811,25.812,167.750,-169.625
right,7,821,46.563,188.000,-164.937
right,7,831,53.313,190.312,-162.062
right,7,841,54.750,182.375,-158.375
right,7,851,60.563,171.625,-154.812
right,7,861,72.563,171.250,-146.937
right,7,871,85.500,177.625,-137.062
right,7,881,89.313,183.062,-138.375
right,7,891,88.688,184.562,-141.812
right,7,901,87.438,179.250,-139.187
right,7,911,88.688,171.375,-137.312
right,7,921,90.188,161.750,-142.125
right,7,931,89.375,146.250,-153.687
right,7,941,86.000,129.000,-160.000
right,7,951,81.438,106.375,-162.312
right,7,961,75.375,72.000,-165.062
right,7,971,68.063,42.750,-168.250
right,7,981,51.125,12.125,-169.500
right,7,991,32.500,1.812,-166.500
right,8,1,-2.813,0.312,-3.438
right,8,11,-3.500,-0.937,-3.125
right,8,21,-4.062,-0.812,-3.625
right,8,31,-5.312,0.125,-5.187
right,8,41,-6.937,0.187,-6.812
right,8,51,-8.625,-0.562,-8.438
right,8,61,-9.500,-1.500,-10.438
right,8,71,-8.875,-1.500,-12.438
right,8,81,-6.812,-0.125,-14.750
right,8,91,-1.750,5.375,-18.250
right,8,101,4.875,12.125,-22.250
